data,variavel,valor,peso,subgrupo
12-1994,Refeição,0,5.0626,Alimentação fora do domicílio
12-1995,Refeição,-0.039,5.0626,Alimentação fora do domicílio
12-1996,Refeição,-0.124,5.0626,Alimentação fora do domicílio
12-1997,Refeição,-0.177,5.0626,Alimentação fora do domicílio
12-1998,Refeição,-0.187,5.0626,Alimentação fora do domicílio
12-1999,Refeição,-0.235,5.0626,Alimentação fora do domicílio
12-2000,Refeição,-0.246,5.0626,Alimentação fora do domicílio
12-2001,Refeição,-0.216,5.0626,Alimentação fora do domicílio
12-2002,Refeição,-0.224,5.0626,Alimentação fora do domicílio
12-2003,Refeição,-0.222,5.0626,Alimentação fora do domicílio
12-2004,Refeição,-0.21,5.0626,Alimentação fora do domicílio
12-2005,Refeição,-0.199,5.0626,Alimentação fora do domicílio
12-2006,Refeição,-0.188,5.0626,Alimentação fora do domicílio
12-2007,Refeição,-0.162,5.0626,Alimentação fora do domicílio
12-2008,Refeição,-0.094,5.0626,Alimentação fora do domicílio
12-2009,Refeição,-0.053,5.0626,Alimentação fora do domicílio
12-2010,Refeição,-0.011,5.0626,Alimentação fora do domicílio
12-2011,Refeição,0.026,5.0626,Alimentação fora do domicílio
12-2012,Refeição,0.053,5.0626,Alimentação fora do domicílio
12-2013,Refeição,0.089,5.0626,Alimentação fora do domicílio
05-2014,Refeição,0.099,5.0626,Alimentação fora do domicílio
12-1994,Aluguel residencial,0,4.028,Encargos e manutenção
12-1995,Aluguel residencial,0.591,4.028,Encargos e manutenção
12-1996,Aluguel residencial,0.966,4.028,Encargos e manutenção
12-1997,Aluguel residencial,1.041,4.028,Encargos e manutenção
12-1998,Aluguel residencial,0.987,4.028,Encargos e manutenção
12-1999,Aluguel residencial,0.78,4.028,Encargos e manutenção
12-2000,Aluguel residencial,0.641,4.028,Encargos e manutenção
12-2001,Aluguel residencial,0.54,4.028,Encargos e manutenção
12-2002,Aluguel residencial,0.373,4.028,Encargos e manutenção
12-2003,Aluguel residencial,0.303,4.028,Encargos e manutenção
12-2004,Aluguel residencial,0.229,4.028,Encargos e manutenção
12-2005,Aluguel residencial,0.193,4.028,Encargos e manutenção
12-2006,Aluguel residencial,0.193,4.028,Encargos e manutenção
12-2007,Aluguel residencial,0.193,4.028,Encargos e manutenção
12-2008,Aluguel residencial,0.204,4.028,Encargos e manutenção
12-2009,Aluguel residencial,0.231,4.028,Encargos e manutenção
12-2010,Aluguel residencial,0.249,4.028,Encargos e manutenção
12-2011,Aluguel residencial,0.301,4.028,Encargos e manutenção
12-2012,Aluguel residencial,0.34,4.028,Encargos e manutenção
12-2013,Aluguel residencial,0.417,4.028,Encargos e manutenção
05-2014,Aluguel residencial,0.43,4.028,Encargos e manutenção
12-1994,Empregado doméstico,0,3.9918,Serviços
12-1995,Empregado doméstico,0.167,3.9918,Serviços
12-1996,Empregado doméstico,0.193,3.9918,Serviços
