data,variavel,valor,peso
01/12/02,Transportes,0,1
01/12/03,Transportes,"-1,84",1
01/12/04,Transportes,"1,25",1
01/12/05,Transportes,"3,53",1
01/12/06,Transportes,"3,41",1
01/12/07,Transportes,"1,05",1
01/12/08,Transportes,"-2,37",1
01/12/09,Transportes,"-4,24",1
01/12/10,Transportes,"-7,39",1
01/12/11,Transportes,"-7,79",1
01/12/12,Transportes,"-12,46",1
01/08/13,Transportes,"-15,08",1
01/12/02,Transporte.público,0,2
01/12/03,Transporte.público,"8,66",2
01/12/04,Transporte.público,"5,72",2
01/12/05,Transporte.público,"12,02",2
01/12/06,Transporte.público,"16,19",2
01/12/07,Transporte.público,"15,9",2
01/12/08,Transporte.público,"14,29",2
01/12/09,Transporte.público,"16,9",2
01/12/10,Transporte.público,"16,86",2
01/12/11,Transporte.público,"20,98",2
01/12/12,Transporte.público,"23,13",2
01/08/13,Transporte.público,"15,6",2
01/12/02,Ônibus.urbano,0,3
01/12/03,Ônibus.urbano,"10,66",3
01/12/04,Ônibus.urbano,"7,72",3
01/12/05,Ônibus.urbano,"12,56",3
01/12/06,Ônibus.urbano,"17,98",3
01/12/07,Ônibus.urbano,"18,22",3
01/12/08,Ônibus.urbano,"15,07",3
01/12/09,Ônibus.urbano,"16,14",3
01/12/10,Ônibus.urbano,"17,97",3
01/12/11,Ônibus.urbano,"20,11",3
01/12/12,Ônibus.urbano,"19,45",3
01/08/13,Ônibus.urbano,"15,39",3
01/12/02,Táxi,0,4
01/12/03,Táxi,"5,01",4
01/12/04,Táxi,"1,73",4
01/12/05,Táxi,"0,1",4
01/12/06,Táxi,"5,95",4
01/12/07,Táxi,"4,55",4
01/12/08,Táxi,"1,88",4
01/12/09,Táxi,"0,63",4
01/12/10,Táxi,"-1,29",4
01/12/11,Táxi,"1,53",4
01/12/12,Táxi,"0,18",4
01/08/13,Táxi,"-1,62",4
01/12/02,Trem,0,5
01/12/03,Trem,"11,66",5
01/12/04,Trem,"3,84",5
01/12/05,Trem,"8,62",5
01/12/06,Trem,"12,55",5
01/12/07,Trem,"9,99",5
01/12/08,Trem,"9,74",5
01/12/09,Trem,"12,17",5
01/12/10,Trem,"8,71",5
01/12/11,Trem,"10,88",5
01/12/12,Trem,"8,03",5
01/08/13,Trem,"4,34",5
01/12/02,Ônibus.intermunicipal,0,6
01/12/03,Ônibus.intermunicipal,"8,83",6
01/12/04,Ônibus.intermunicipal,"6,04",6
01/12/05,Ônibus.intermunicipal,"12,72",6
01/12/06,Ônibus.intermunicipal,"18,98",6
01/12/07,Ônibus.intermunicipal,"18,66",6
01/12/08,Ônibus.intermunicipal,"18,39",6
01/12/09,Ônibus.intermunicipal,"20,49",6
01/12/10,Ônibus.intermunicipal,"19,24",6
01/12/11,Ônibus.intermunicipal,"18,57",6
